created_at,entry_id,field1,field2,latitude,longitude,elevation,status
2021-08-23 17:44:59 -05,106,20.60,49.60,,,,
2021-08-23 17:45:17 -05,107,20.60,49.50,,,,
2021-08-23 17:45:35 -05,108,20.60,49.40,,,,
2021-08-23 17:45:50 -05,109,20.60,49.60,,,,
2021-08-23 17:59:59 -05,110,20.40,50.50,,,,
2021-08-23 18:00:17 -05,111,20.40,50.70,,,,
2021-08-23 18:00:35 -05,112,20.40,50.60,,,,
2021-08-23 18:00:53 -05,113,20.40,50.80,,,,
2021-08-23 18:14:59 -05,114,19.90,50.90,,,,
2021-08-23 18:15:17 -05,115,19.90,51.00,,,,
2021-08-23 18:15:35 -05,116,19.90,50.80,,,,
2021-08-23 18:15:55 -05,117,19.80,51.00,,,,
2021-08-23 18:29:59 -05,118,19.50,52.20,,,,
2021-08-23 18:30:15 -05,119,19.50,52.10,,,,
2021-08-23 18:30:32 -05,120,19.50,52.00,,,,
2021-08-23 18:30:50 -05,121,19.50,52.10,,,,
2021-08-23 18:44:59 -05,122,19.20,53.80,,,,
2021-08-23 18:45:17 -05,123,19.20,53.60,,,,
2021-08-23 18:45:35 -05,124,19.20,53.60,,,,
2021-08-23 18:45:53 -05,125,19.20,53.50,,,,
2021-08-23 18:59:59 -05,126,19.00,55.00,,,,
2021-08-23 19:00:17 -05,127,18.90,55.10,,,,
2021-08-23 19:00:35 -05,128,18.90,55.10,,,,
2021-08-23 19:00:50 -05,129,18.90,55.10,,,,
2021-08-23 19:14:59 -05,130,18.70,59.70,,,,
2021-08-23 19:15:22 -05,131,18.60,59.90,,,,
2021-08-23 19:15:40 -05,132,18.60,60.10,,,,
2021-08-23 19:15:58 -05,133,18.60,60.50,,,,
2021-08-23 19:29:59 -05,134,18.10,62.70,,,,
2021-08-23 19:30:17 -05,135,18.20,62.90,,,,
2021-08-23 19:30:35 -05,136,18.20,63.00,,,,
2021-08-23 19:30:53 -05,137,18.20,62.90,,,,
2021-08-23 19:44:59 -05,138,17.80,64.90,,,,
2021-08-23 19:45:22 -05,139,17.80,64.90,,,,
2021-08-23 19:45:40 -05,140,17.80,65.00,,,,
2021-08-23 19:45:57 -05,141,17.80,65.00,,,,
2021-08-23 19:59:59 -05,142,17.50,65.80,,,,
2021-08-23 20:00:17 -05,143,17.50,65.70,,,,
2021-08-23 20:00:35 -05,144,17.50,65.90,,,,
2021-08-23 20:00:53 -05,145,17.60,66.10,,,,
2021-08-23 20:14:59 -05,146,17.40,65.70,,,,
2021-08-23 20:15:15 -05,147,17.30,65.80,,,,
2021-08-23 20:15:32 -05,148,17.40,66.00,,,,
2021-08-23 20:15:50 -05,149,17.40,66.00,,,,
2021-08-23 20:29:59 -05,150,17.00,63.80,,,,
2021-08-23 20:30:17 -05,151,17.00,63.70,,,,
2021-08-23 20:30:35 -05,152,17.00,63.70,,,,
2021-08-23 20:30:53 -05,153,17.00,63.80,,,,
